country,continent,year,life_expectancy,population,gdp_per_capita,iso_alpha,iso_num,gdp_total_usd
Algeria,Africa,1972,54.52,14760787,4182.66,DZA,12,61739353353
Algeria,Africa,1977,58.01,17152804,4910.42,DZA,12,84227471818
Algeria,Africa,1982,61.37,20033753,5745.16,DZA,12,115097116385
Algeria,Africa,1987,65.8,23254956,5681.36,DZA,12,132119776820
Algeria,Africa,1992,67.74,26298373,5023.22,DZA,12,132102513221
Algeria,Africa,1997,69.15,29072015,4797.3,DZA,12,139467177560
Algeria,Africa,2002,70.99,31287142,5288.04,DZA,12,165447658382
Algeria,Africa,2007,72.3,33333216,6223.37,DZA,12,207444936458
Angola,Africa,1952,30.02,4232095,3520.61,AGO,24,14899555978
Angola,Africa,1957,32.0,4561361,3827.94,AGO,24,17460616226
Angola,Africa,1962,34.0,4826015,4269.28,AGO,24,20603609319
Angola,Africa,1967,35.98,5247469,5522.78,AGO,24,28980616844
Angola,Africa,1972,37.93,5894858,5473.29,AGO,24,32264267343
Angola,Africa,1977,39.48,6162675,3008.65,AGO,24,18541332139
Angola,Africa,1982,39.94,7016384,2756.95,AGO,24,19343819869
Angola,Africa,1987,39.91,7874230,2430.21,AGO,24,19136032488
Angola,Africa,1992,40.65,8735988,2627.85,AGO,24,22956866066
Angola,Africa,1997,40.96,9875024,2277.14,AGO,24,22486812151
Angola,Africa,2002,41.0,10866106,2773.29,AGO,24,30134863109
Angola,Africa,2007,42.73,12420476,4797.23,AGO,24,59583880081
Argentina,Americas,1952,62.48,17876956,5911.32,ARG,32,105676407542
Argentina,Americas,1957,64.4,19610538,6856.86,ARG,32,134466713591
Argentina,Americas,1962,65.14,21283783,7133.17,ARG,32,151820842382
Argentina,Americas,1967,65.63,22934225,8052.95,ARG,32,184688167214
Argentina,Americas,1972,67.06,24779799,9443.04,ARG,32,233996633149
Argentina,Americas,1977,68.48,26983828,10079.03,ARG,32,271970811927
Argentina,Americas,1982,69.94,29341374,8997.9,ARG,32,264010749115
Argentina,Americas,1987,70.77,31620918,9139.67,ARG,32,289004755617
Argentina,Americas,1992,71.87,33958947,9308.42,ARG,32,316104141434
Argentina,Americas,1997,73.28,36203463,10967.28,ARG,32,397053515691
Argentina,Americas,2002,74.34,38331121,8797.64,ARG,32,337223403354
Argentina,Americas,2007,75.32,40301927,12779.38,ARG,32,515033639865
Australia,Oceania,1952,69.12,8691212,10039.6,AUS,36,87256291995
Australia,Oceania,1957,70.33,9712569,10949.65,AUS,36,106349231151
Australia,Oceania,1962,70.93,10794968,12217.23,AUS,36,131884606899
Australia,Oceania,1967,71.1,11872264,14526.12,AUS,36,172457931536
Australia,Oceania,1972,71.93,13177000,16788.63,AUS,36,221223777510
Australia,Oceania,1977,73.49,14074100,18334.2,AUS,36,258037364220
Australia,Oceania,1982,74.74,15184200,19477.01,AUS,36,295742815242
Australia,Oceania,1987,76.32,16257249,21888.89,AUS,36,355853135064
Australia,Oceania,1992,77.56,17481977,23424.77,AUS,36,409511290370
Australia,Oceania,1997,78.83,18565243,26997.94,AUS,36,501223316599
Australia,Oceania,2002,80.37,19546792,30687.75,AUS,36,599847066198
Australia,Oceania,2007,81.24,20434176,34435.37,AUS,36,703658411205
Austria,Europe,1952,66.8,6927772,6137.08,AUT,40,42516290986
Austria,Europe,1957,67.48,6965860,8842.6,AUT,40,61596313636
Austria,Europe,1962,69.54,7129864,10750.72,AUT,40,76651171502
Austria,Europe,1967,70.14,7376998,12834.6,AUT,40,94680818531
Austria,Europe,1972,70.63,7544201,16661.63,AUT,40,125698685708
Austria,Europe,1977,72.17,7568430,19749.42,AUT,40,149472102811
Austria,Europe,1982,73.18,7574613,21597.08,AUT,40,163589522930
Austria,Europe,1987,74.94,7578903,23687.83,AUT,40,179527765850
Austria,Europe,1992,76.04,7914969,27042.02,AUT,40,214036749997
Austria,Europe,1997,77.51,8069876,29095.92,AUT,40,234800466506
Austria,Europe,2002,78.98,8148312,32417.61,AUT,40,264148800574
Austria,Europe,2007,79.83,8199783,36126.49,AUT,40,296229378552
Bahrain,Asia,1952,50.94,120447,9867.08,BHR,48,1188460185
Bahrain,Asia,1957,53.83,138655,11635.8,BHR,48,1613361849
Bahrain,Asia,1962,56.92,171863,12753.28,BHR,48,2191816961
Bahrain,Asia,1967,59.92,202182,14804.67,BHR,48,2993237790
Bahrain,Asia,1972,63.3,230800,18268.66,BHR,48,4216406728
Bahrain,Asia,1977,65.59,297410,19340.1,BHR,48,5751939141
Bahrain,Asia,1982,69.05,377967,19211.15,BHR,48,7261180732
Bahrain,Asia,1987,70.75,454612,18524.02,BHR,48,8421241780
Bahrain,Asia,1992,72.6,529491,19035.58,BHR,48,10079168290
Bahrain,Asia,1997,73.92,598561,20292.02,BHR,48,12146011783
Bahrain,Asia,2002,74.8,656397,23403.56,BHR,48,15362026573
Bahrain,Asia,2007,75.64,708573,29796.05,BHR,48,21112676537
Bangladesh,Asia,1952,37.48,46886859,684.24,BGD,50,32081864402
Bangladesh,Asia,1957,39.35,51365468,661.64,BGD,50,33985448248
Bangladesh,Asia,1962,41.22,56839289,686.34,BGD,50,39011077612
Bangladesh,Asia,1967,43.45,62821884,721.19,BGD,50,45306514522
Bangladesh,Asia,1972,45.25,70759295,630.23,BGD,50,44594630488
Bangladesh,Asia,1977,46.92,80428306,659.88,BGD,50,53073030563
Bangladesh,Asia,1982,50.01,93074406,676.98,BGD,50,63009511374
Bangladesh,Asia,1987,52.82,103764241,751.98,BGD,50,78028633947
Bangladesh,Asia,1992,56.02,113704579,837.81,BGD,50,95262833332
Bangladesh,Asia,1997,59.41,123315288,972.77,BGD,50,119957412708
Bangladesh,Asia,2002,62.01,135656790,1136.39,BGD,50,154159019588
Bangladesh,Asia,2007,64.06,150448339,1391.25,BGD,50,209311251634
Belgium,Europe,1952,68.0,8730405,8343.11,BEL,56,72838729260
Belgium,Europe,1957,69.24,8989111,9714.96,BEL,56,87328853801
Belgium,Europe,1962,70.25,9218400,10991.21,BEL,56,101321370264
Belgium,Europe,1967,70.94,9556500,13149.04,BEL,56,125658800760
Belgium,Europe,1972,71.44,9709100,16672.14,BEL,56,161871474474
Belgium,Europe,1977,72.8,9821800,19117.97,BEL,56,187772877746
Belgium,Europe,1982,73.93,9856303,20979.85,BEL,56,206783758495
Belgium,Europe,1987,75.35,9870200,22525.56,BEL,56,222331782312
Belgium,Europe,1992,76.46,10045622,25575.57,BEL,56,256922508655
Belgium,Europe,1997,77.53,10199787,27561.2,BEL,56,281118369464
Belgium,Europe,2002,78.32,10311970,30485.88,BEL,56,314369479984
Belgium,Europe,2007,79.44,10392226,33692.61,BEL,56,350141217650
Benin,Africa,1952,38.22,1738315,1062.75,BEN,204,1847394266
Benin,Africa,1957,40.36,1925173,959.6,BEN,204,1847396011
Benin,Africa,1962,42.62,2151895,949.5,BEN,204,2043224302
Benin,Africa,1967,44.88,2427334,1035.83,BEN,204,2514305377
Benin,Africa,1972,47.01,2761407,1085.8,BEN,204,2998335721
Benin,Africa,1977,49.19,3168267,1029.16,BEN,204,3260653666
Benin,Africa,1982,50.9,3641603,1277.9,BEN,204,4653604474
Benin,Africa,1987,52.34,4243788,1225.86,BEN,204,5202289958
Benin,Africa,1992,53.92,4981671,1191.21,BEN,204,5934216312
Benin,Africa,1997,54.78,6066080,1232.98,BEN,204,7479355318
Benin,Africa,2002,54.41,7026113,1372.88,BEN,204,9646010015
Benin,Africa,2007,56.73,8078314,1441.28,BEN,204,11643112402
Bolivia,Americas,1952,40.41,2883315,2677.33,BOL,68,7719585749
Bolivia,Americas,1957,41.89,3211738,2127.69,BOL,68,6833582825
Bolivia,Americas,1962,43.43,3593918,2180.97,BOL,68,7838227340
Bolivia,Americas,1967,45.03,4040665,2586.89,BOL,68,10452755882
Bolivia,Americas,1972,46.71,4565872,2980.33,BOL,68,13607805298
Bolivia,Americas,1977,50.02,5079716,3548.1,BOL,68,18023340340
Bolivia,Americas,1982,53.86,5642224,3156.51,BOL,68,17809736478
Bolivia,Americas,1987,57.25,6156369,2753.69,BOL,68,16952731752
Bolivia,Americas,1992,59.96,6893451,2961.7,BOL,68,20416333827
Bolivia,Americas,1997,62.05,7693188,3326.14,BOL,68,25588620334
Bolivia,Americas,2002,63.88,8445134,3413.26,BOL,68,28825438077
Bolivia,Americas,2007,65.55,9119152,3822.14,BOL,68,34854675625
Bosnia and Herzegovina,Europe,1952,53.82,2791000,973.53,BIH,70,2717122230
Bosnia and Herzegovina,Europe,1957,58.45,3076000,1353.99,BIH,70,4164873240
Bosnia and Herzegovina,Europe,1962,61.93,3349000,1709.68,BIH,70,5725718320
Bosnia and Herzegovina,Europe,1967,64.79,3585000,2172.35,BIH,70,7787874750
Bosnia and Herzegovina,Europe,1972,67.45,3819000,2860.17,BIH,70,10922989230
Bosnia and Herzegovina,Europe,1977,69.86,4086000,3528.48,BIH,70,14417369280
Bosnia and Herzegovina,Europe,1982,70.69,4172693,4126.61,BIH,70,17219076661
Bosnia and Herzegovina,Europe,1987,71.14,4338977,4314.11,BIH,70,18718824065
Bosnia and Herzegovina,Europe,1992,72.18,4256013,2546.78,BIH,70,10839128788
Bosnia and Herzegovina,Europe,1997,73.24,3607000,4766.36,BIH,70,17192260520
Bosnia and Herzegovina,Europe,2002,74.09,4165416,6018.98,BIH,70,25071555596
Bosnia and Herzegovina,Europe,2007,74.85,4552198,7446.3,BIH,70,33897031967
Botswana,Africa,1952,47.62,442308,851.24,BWA,72,376510262
Botswana,Africa,1957,49.62,474639,918.23,BWA,72,435827769
Botswana,Africa,1962,51.52,512764,983.65,BWA,72,504380309
Botswana,Africa,1967,53.3,553541,1214.71,BWA,72,672391788
Botswana,Africa,1972,56.02,619351,2263.61,BWA,72,1401969117
Botswana,Africa,1977,59.32,781472,3214.86,BWA,72,2512323074
Botswana,Africa,1982,61.48,970347,4551.14,BWA,72,4416185046
Botswana,Africa,1987,63.62,1151184,6205.88,BWA,72,7144109762
Botswana,Africa,1992,62.74,1342614,7954.11,BWA,72,10679299444
Botswana,Africa,1997,52.56,1536536,8647.14,BWA,72,13286641907
Botswana,Africa,2002,46.63,1630347,11003.61,BWA,72,17939702553
Botswana,Africa,2007,50.73,1639131,12569.85,BWA,72,20603630800
Brazil,Americas,1952,50.92,56602560,2108.94,BRA,76,119371402886
Brazil,Americas,1957,53.28,65551171,2487.37,BRA,76,163050016210
Brazil,Americas,1962,55.66,76039390,3336.59,BRA,76,253712268280
Brazil,Americas,1967,57.63,88049823,3429.86,BRA,76,301998565915
Brazil,Americas,1972,59.5,100840058,4985.71,BRA,76,502759285571
Brazil,Americas,1977,61.49,114313951,6660.12,BRA,76,761344631334
Brazil,Americas,1982,63.34,128962939,7030.84,BRA,76,906717790039
Brazil,Americas,1987,65.2,142938076,7807.1,BRA,76,1115931853140
Brazil,Americas,1992,67.06,155975974,6950.28,BRA,76,1084076692573
Brazil,Americas,1997,69.39,168546719,7957.98,BRA,76,1341291418868
Brazil,Americas,2002,71.01,179914212,8131.21,BRA,76,1462920239757
Brazil,Americas,2007,72.39,190010647,9065.8,BRA,76,1722598523573
Bulgaria,Europe,1952,59.6,7274900,2444.29,BGR,100,17781965321
Bulgaria,Europe,1957,66.61,7651254,3008.67,BGR,100,23020098372
Bulgaria,Europe,1962,69.51,8012946,4254.34,BGR,100,34089796686
Bulgaria,Europe,1967,70.42,8310226,5577.0,BGR,100,46346130402
Bulgaria,Europe,1972,70.9,8576200,6597.49,BGR,100,56581393738
Bulgaria,Europe,1977,70.81,8797022,7612.24,BGR,100,66965042749
Bulgaria,Europe,1982,71.08,8892098,8224.19,BGR,100,73130303451
Bulgaria,Europe,1987,71.34,8971958,8239.85,BGR,100,73927588126
Bulgaria,Europe,1992,71.19,8658506,6302.62,BGR,100,54571273086
Bulgaria,Europe,1997,70.32,8066057,5970.39,BGR,100,48157506052
Bulgaria,Europe,2002,72.14,7661799,7696.78,BGR,100,58971181307
Bulgaria,Europe,2007,73.0,7322858,10680.79,BGR,100,78213908498
Burkina Faso,Africa,1952,31.98,4469979,543.26,BFA,854,2428360792
Burkina Faso,Africa,1957,34.91,4713416,617.18,BFA,854,2909026087
Burkina Faso,Africa,1962,37.81,4919632,722.51,BFA,854,3554483316
Burkina Faso,Africa,1967,40.7,5127935,794.83,BFA,854,4075836576
Burkina Faso,Africa,1972,43.59,5433886,854.74,BFA,854,4644559720
Burkina Faso,Africa,1977,46.14,5889574,743.39,BFA,854,4378250416
Burkina Faso,Africa,1982,48.12,6634596,807.2,BFA,854,5355445891
Burkina Faso,Africa,1987,49.56,7586551,912.06,BFA,854,6919389705
Burkina Faso,Africa,1992,50.26,8878303,931.75,BFA,854,8272358820
Burkina Faso,Africa,1997,50.32,10352843,946.29,BFA,854,9796791802
Burkina Faso,Africa,2002,50.65,12251209,1037.65,BFA,854,12712467019
Burkina Faso,Africa,2007,52.3,14326203,1217.03,BFA,854,17435418837
Burundi,Africa,1952,39.03,2445618,339.3,BDI,108,829798187
Burundi,Africa,1957,40.53,2667518,379.56,BDI,108,1012483132
Burundi,Africa,1962,42.04,2961915,355.2,BDI,108,1052072208
Burundi,Africa,1967,43.55,3330989,412.98,BDI,108,1375631837
Burundi,Africa,1972,44.06,3529983,464.1,BDI,108,1638265110
Burundi,Africa,1977,45.91,3834415,556.1,BDI,108,2132318182
Burundi,Africa,1982,47.47,4580410,559.6,BDI,108,2563197436
Burundi,Africa,1987,48.21,5126023,621.82,BDI,108,3187463622
Burundi,Africa,1992,44.74,5809236,631.7,BDI,108,3669694381
Burundi,Africa,1997,45.33,6121610,463.12,BDI,108,2835040023
Burundi,Africa,2002,47.36,7021078,446.4,BDI,108,3134209219
Burundi,Africa,2007,49.58,8390505,430.07,BDI,108,3608504485
Cambodia,Asia,1952,39.42,4693836,368.47,KHM,116,1729537751
Cambodia,Asia,1957,41.37,5322536,434.04,KHM,116,2310193525
Cambodia,Asia,1962,43.42,6083619,496.91,KHM,116,3023011117
Cambodia,Asia,1967,45.42,6960067,523.43,KHM,116,3643107870
Cambodia,Asia,1972,40.32,7450606,421.62,KHM,116,3141324502
Cambodia,Asia,1977,31.22,6978607,524.97,KHM,116,3663559317
Cambodia,Asia,1982,50.96,7272485,624.48,KHM,116,4541521433
Cambodia,Asia,1987,53.91,8371791,683.9,KHM,116,5725467865
Cambodia,Asia,1992,55.8,10150094,682.3,KHM,116,6925409136
Cambodia,Asia,1997,56.53,11782962,734.29,KHM,116,8652111167
Cambodia,Asia,2002,56.75,12926707,896.23,KHM,116,11585302615
Cambodia,Asia,2007,59.72,14131858,1713.78,KHM,116,24218895603
Cameroon,Africa,1952,38.52,5009067,1172.67,CMR,120,5873982599
Cameroon,Africa,1957,40.43,5359923,1313.05,CMR,120,7037846895
Cameroon,Africa,1962,42.64,5793633,1399.61,CMR,120,8108826683
Cameroon,Africa,1967,44.8,6335506,1508.45,CMR,120,9556794026
Cameroon,Africa,1972,47.05,7021028,1684.15,CMR,120,11824464306
Cameroon,Africa,1977,49.36,7959865,1783.43,CMR,120,14195862037
Cameroon,Africa,1982,52.96,9250831,2367.98,CMR,120,21905782791
Cameroon,Africa,1987,54.98,10780667,2602.66,CMR,120,28058410774
Cameroon,Africa,1992,54.31,12467171,1793.16,CMR,120,22355632350
Cameroon,Africa,1997,52.2,14195809,1694.34,CMR,120,24052527021
Cameroon,Africa,2002,49.86,15929988,1934.01,CMR,120,30808756092
Cameroon,Africa,2007,50.43,17696293,2042.1,CMR,120,36137599935
Canada,Americas,1952,68.75,14785584,11367.16,CAN,124,168070099021
Canada,Americas,1957,69.96,17010154,12489.95,CAN,124,212455972952
Canada,Americas,1962,71.3,18985849,13462.49,CAN,124,255596802304
Canada,Americas,1967,72.13,20819767,16076.59,CAN,124,334710857955
Canada,Americas,1972,72.88,22284500,18970.57,CAN,124,422749667165
Canada,Americas,1977,74.21,23796400,22090.88,CAN,124,525683416832
Canada,Americas,1982,75.76,25201900,22898.79,CAN,124,577093015701
Canada,Americas,1987,76.86,26549700,26626.52,CAN,124,706926118044
Canada,Americas,1992,77.95,28523502,26342.88,CAN,124,751391190366
Canada,Americas,1997,78.61,30305843,28954.93,CAN,124,877503562656
Canada,Americas,2002,79.77,31902268,33328.97,CAN,124,1063269733104
Canada,Americas,2007,80.65,33390141,36319.24,CAN,124,1212704544613
Central African Republic,Africa,1952,35.46,1291695,1071.31,CAF,140,1383805770
Central African Republic,Africa,1957,37.46,1392284,1190.84,CAF,140,1657987479
Central African Republic,Africa,1962,39.48,1523478,1193.07,CAF,140,1817615897
Central African Republic,Africa,1967,41.48,1733638,1136.06,CAF,140,1969516786
Central African Republic,Africa,1972,43.46,1927260,1070.01,CAF,140,2062187473
Central African Republic,Africa,1977,46.78,2167533,1109.37,CAF,140,2404596084
Central African Republic,Africa,1982,48.3,2476971,956.75,CAF,140,2369842004
Central African Republic,Africa,1987,50.48,2840009,844.88,CAF,140,2399466804
Central African Republic,Africa,1992,49.4,3265124,747.91,CAF,140,2442018891
Central African Republic,Africa,1997,46.07,3696513,740.51,CAF,140,2737304842
Central African Republic,Africa,2002,43.31,4048013,738.69,CAF,140,2990226723
Central African Republic,Africa,2007,44.74,4369038,706.02,CAF,140,3084628209
Chad,Africa,1952,38.09,2682462,1178.67,TCD,148,3161737486
Chad,Africa,1957,39.88,2894855,1308.5,TCD,148,3787917768
Chad,Africa,1962,41.72,3150417,1389.82,TCD,148,4378512555
Chad,Africa,1967,43.6,3495967,1196.81,TCD,148,4184008265
Chad,Africa,1972,45.57,3899068,1104.1,TCD,148,4304960979
Chad,Africa,1977,47.38,4388260,1133.98,TCD,148,4976199075
Chad,Africa,1982,49.52,4875118,797.91,TCD,148,3889905403
Chad,Africa,1987,51.05,5498955,952.39,TCD,148,5237149752
Chad,Africa,1992,51.72,6429417,1058.06,TCD,148,6802708951
Chad,Africa,1997,51.57,7562011,1004.96,TCD,148,7599518575
Chad,Africa,2002,50.52,8835739,1156.18,TCD,148,10215704717
Chad,Africa,2007,50.65,10238807,1704.06,TCD,148,17447541456
Chile,Americas,1952,54.74,6377619,3939.98,CHL,152,25127691308
Chile,Americas,1957,56.07,7048426,4315.62,CHL,152,30418328214
Chile,Americas,1962,57.92,7961258,4519.09,CHL,152,35977641415
Chile,Americas,1967,60.52,8858908,5106.65,CHL,152,45239342538
Chile,Americas,1972,63.44,9717524,5494.02,CHL,152,53388271206
Chile,Americas,1977,67.05,10599793,4756.76,CHL,152,50420671351
Chile,Americas,1982,70.56,11487112,5095.67,CHL,152,58534532005
Chile,Americas,1987,72.49,12463354,5547.06,CHL,152,69134972439
Chile,Americas,1992,74.13,13572994,7596.13,CHL,152,103102226913
Chile,Americas,1997,75.82,14599929,10118.05,CHL,152,147722811618
Chile,Americas,2002,77.86,15497046,10778.78,CHL,152,167039249484
Chile,Americas,2007,78.55,16284741,13171.64,CHL,152,214496745945
China,Asia,1952,44.0,556263527,400.45,CHN,156,222755729387
China,Asia,1957,50.55,637408000,575.99,CHN,156,367140633920
China,Asia,1962,44.5,665770000,487.67,CHN,156,324676055900
China,Asia,1967,58.38,754550000,612.71,CHN,156,462320330500
China,Asia,1972,63.12,862030000,676.9,CHN,156,583508107000
China,Asia,1977,63.97,943455000,741.24,CHN,156,699326584200
China,Asia,1982,65.53,1000281000,962.42,CHN,156,962690440020
China,Asia,1987,67.27,1084035000,1378.9,CHN,156,1494775861500
China,Asia,1992,68.69,1164970000,1655.78,CHN,156,1928934026600
China,Asia,1997,70.43,1230075000,2289.23,CHN,156,2815924592250
China,Asia,2002,72.03,1280400000,3119.28,CHN,156,3993926112000
China,Asia,2007,72.96,1318683096,4959.11,CHN,156,6539494528205
Colombia,Americas,1952,50.64,12350771,2144.12,COL,170,26481535117
Colombia,Americas,1957,55.12,14485993,2323.81,COL,170,33662695393
Colombia,Americas,1962,57.86,17009885,2492.35,COL,170,42394586880
Colombia,Americas,1967,59.96,19764027,2678.73,COL,170,52942492046
Colombia,Americas,1972,61.62,22542890,3264.66,COL,170,73594871267
Colombia,Americas,1977,63.84,25094412,3815.81,COL,170,95755508254
Colombia,Americas,1982,66.65,27764644,4397.58,COL,170,122097243162
Colombia,Americas,1987,67.77,30964245,4903.22,COL,170,151824505369
Colombia,Americas,1992,68.42,34202721,5444.65,COL,170,186221844893
Colombia,Americas,1997,70.31,37657830,6117.36,COL,170,230366502929
Colombia,Americas,2002,71.68,41008227,5755.26,COL,170,236013008524
Colombia,Americas,2007,72.89,44227550,7006.58,COL,170,309883867279
Comoros,Africa,1952,40.72,153936,1102.99,COM,174,169789869
Comoros,Africa,1957,42.46,170928,1211.15,COM,174,207019447
Comoros,Africa,1962,44.47,191689,1406.65,COM,174,269639332
Comoros,Africa,1967,46.47,217378,1876.03,COM,174,407807649
Comoros,Africa,1972,48.94,250027,1937.58,COM,174,484447315
Comoros,Africa,1977,50.94,304739,1172.6,COM,174,357336951
Comoros,Africa,1982,52.93,348643,1267.1,COM,174,441765545
Comoros,Africa,1987,54.93,395114,1315.98,COM,174,519962122
Comoros,Africa,1992,57.94,454429,1246.91,COM,174,566632064
Comoros,Africa,1997,60.66,527982,1173.62,COM,174,619650235
Comoros,Africa,2002,62.97,614382,1075.81,COM,174,660958299
Comoros,Africa,2007,65.15,710960,986.15,COM,174,701113204
"Congo, Dem. Rep.",Africa,1952,39.14,14100005,780.54,COD,180,11005617903
"Congo, Dem. Rep.",Africa,1957,40.65,15577932,905.86,COD,180,14111425482
"Congo, Dem. Rep.",Africa,1962,42.12,17486434,896.31,COD,180,15673265659
"Congo, Dem. Rep.",Africa,1967,44.06,19941073,861.59,COD,180,17181029086
"Congo, Dem. Rep.",Africa,1972,45.99,23007669,904.9,COD,180,20819639678
"Congo, Dem. Rep.",Africa,1977,47.8,26480870,795.76,COD,180,21072417111
"Congo, Dem. Rep.",Africa,1982,47.78,30646495,673.75,COD,180,20648076006
"Congo, Dem. Rep.",Africa,1987,47.41,35481645,672.77,COD,180,23870986307
"Congo, Dem. Rep.",Africa,1992,45.55,41672143,457.72,COD,180,19074173294
"Congo, Dem. Rep.",Africa,1997,42.59,47798986,312.19,COD,180,14922365439
"Congo, Dem. Rep.",Africa,2002,44.97,55379852,241.17,COD,180,13355958907
"Congo, Dem. Rep.",Africa,2007,46.46,64606759,277.55,COD,180,17931605960
"Congo, Rep.",Africa,1952,42.11,854885,2125.62,COG,178,1817160654
"Congo, Rep.",Africa,1957,45.05,940458,2315.06,COG,178,2177216697
"Congo, Rep.",Africa,1962,48.44,1047924,2464.78,COG,178,2582902117
"Congo, Rep.",Africa,1967,52.04,1179760,2677.94,COG,178,3159326494
"Congo, Rep.",Africa,1972,54.91,1340458,3213.15,COG,178,4307092623
"Congo, Rep.",Africa,1977,55.62,1536769,3259.18,COG,178,5008606789
"Congo, Rep.",Africa,1982,56.7,1774735,4879.51,COG,178,8659837180
"Congo, Rep.",Africa,1987,57.47,2064095,4201.19,COG,178,8671655273
"Congo, Rep.",Africa,1992,56.43,2409073,4016.24,COG,178,9675415346
"Congo, Rep.",Africa,1997,52.96,2800947,3484.16,COG,178,9758947500
"Congo, Rep.",Africa,2002,52.97,3328795,3484.06,COG,178,11597721508
"Congo, Rep.",Africa,2007,55.32,3800610,3632.56,COG,178,13805943862
Costa Rica,Americas,1952,57.21,926317,2627.01,CRI,188,2433444022
Costa Rica,Americas,1957,60.03,1112300,2990.01,CRI,188,3325788123
Costa Rica,Americas,1962,62.84,1345187,3460.94,CRI,188,4655611496
Costa Rica,Americas,1967,65.42,1588717,4161.73,CRI,188,6611811200
Costa Rica,Americas,1972,67.85,1834796,5118.15,CRI,188,9390761147
Costa Rica,Americas,1977,70.75,2108457,5926.88,CRI,188,12496571624
Costa Rica,Americas,1982,73.45,2424367,5262.73,CRI,188,12758788942
Costa Rica,Americas,1987,74.75,2799811,5629.92,CRI,188,15762711945
Costa Rica,Americas,1992,75.71,3173216,6160.42,CRI,188,19548343311
Costa Rica,Americas,1997,77.26,3518107,6677.05,CRI,188,23490576344
Costa Rica,Americas,2002,78.12,3834934,7723.45,CRI,188,29618921002
Costa Rica,Americas,2007,78.78,4133884,9645.06,CRI,188,39871559213
Cote d'Ivoire,Africa,1952,40.48,2977019,1388.59,CIV,384,4133858813
Cote d'Ivoire,Africa,1957,42.47,3300000,1500.9,CIV,384,4952970000
Cote d'Ivoire,Africa,1962,44.93,3832408,1728.87,CIV,384,6625735219
Cote d'Ivoire,Africa,1967,47.35,4744870,2052.05,CIV,384,9736710484
Cote d'Ivoire,Africa,1972,49.8,6071696,2378.2,CIV,384,14439707427
Cote d'Ivoire,Africa,1977,52.37,7459574,2517.74,CIV,384,18781267843
Cote d'Ivoire,Africa,1982,53.98,9025951,2602.71,CIV,384,23491932927
Cote d'Ivoire,Africa,1987,54.66,10761098,2156.96,CIV,384,23211257942
Cote d'Ivoire,Africa,1992,52.04,12772596,1648.07,CIV,384,21050132290
Cote d'Ivoire,Africa,1997,47.99,14625967,1786.27,CIV,384,26125926073
Cote d'Ivoire,Africa,2002,46.83,16252726,1648.8,CIV,384,26797494629
Cote d'Ivoire,Africa,2007,48.33,18013409,1544.75,CIV,384,27826213553
Croatia,Europe,1952,61.21,3882229,3119.24,HRV,191,12109603986
Croatia,Europe,1957,64.77,3991242,4338.23,HRV,191,17314925782
Croatia,Europe,1962,67.13,4076557,5477.89,HRV,191,22330930825
Croatia,Europe,1967,68.5,4174366,6960.3,HRV,191,29054839670
Croatia,Europe,1972,69.61,4225310,9164.09,HRV,191,38721121118
Croatia,Europe,1977,70.64,4318673,11305.39,HRV,191,48824282547
Croatia,Europe,1982,70.46,4413368,13221.82,HRV,191,58352757290
